us,Red,IR,Ratio,Ambient,drdt,ddrdt,Notes
1745434856317,90280,185489,0.4867
1745434856317,89971,184907,0.4866
1745434856318,89678,184352,0.4865
1745434856329,89386,183790,0.4863
1745434856365,89065,183168,0.4862
1745434856407,88692,182441,0.4861
1745434856426,88261,181598,0.4860
1745434856495,87792,180677,0.4859
1745434856496,87321,179752,0.4858
1745434856521,86895,178911,0.4857
1745434856558,86554,178232,0.4856
1745434856593,86322,177766,0.4856
1745434856625,86206,177521,0.4856
1745434856696,86188,177470,0.4857
1745434856773,86241,177557,0.4857
1745434856791,86329,177722,0.4858
1745434856796,86429,177919,0.4858
1745434856796,86526,178129,0.4857
1745434856820,86623,178361,0.4857
1745434856823,86736,178643,0.4855
1745434856855,86886,179010,0.4854
1745434856890,87088,179484,0.4852
1745434856924,87346,180056,0.4851
1745434857013,87645,180686,0.4851
1745434857037,87955,181308,0.4851
1745434857038,88242,181853,0.4852
1745434857078,88476,182270,0.4854
1745434857079,88642,182533,0.4856
1745434857109,88732,182632,0.4859
1745434857143,88739,182539,0.4861
1745434857170,88641,182192,0.4865
1745434857315,88409,181511,0.4871
1745434857324,88028,180459,0.4878
1745434857325,87520,179096,0.4887
1745434857326,86946,177591,0.4896
1745434857342,86396,176181,0.4904
1745434857378,85961,175100,0.4909
1745434857406,85704,174508,0.4911
1745434857430,85647,174448,0.4910
1745434857465,85764,174844,0.4905
1745434857526,85993,175522,0.4899
1745434857527,86254,176273,0.4893
1745434857555,86467,176891,0.4888
1745434857594,86564,177211,0.4885
1745434857626,86500,177121,0.4884
1745434857659,86253,176573,0.4885
1745434857794,85838,175599,0.4888
1745434857805,85302,174314,0.4894
1745434857805,84719,172893,0.4900
1745434857806,84166,171527,0.4907
1745434857806,83708,170374,0.4913
1745434857838,83383,169530,0.4918
1745434857867,83201,169022,0.4922
1745434857909,83145,168816,0.4925
1745434857949,83183,168837,0.4927
1745434858017,83277,168997,0.4928
1745434858039,83395,169219,0.4928
1745434858040,83514,169455,0.4928
1745434858040,83627,169691,0.4928
1745434858106,83739,169937,0.4928
1745434858144,83857,170217,0.4926
1745434858145,83992,170557,0.4925
1745434858277,84157,170991,0.4922
1745434858278,84375,171572,0.4918
1745434858278,84677,172371,0.4912
1745434858278,85094,173451,0.4906
1745434858310,85639,174829,0.4898
1745434858336,86291,176442,0.4891
1745434858372,86995,178148,0.4883
1745434858410,87673,179758,0.4877
1745434858436,88243,181086,0.4873
1745434858474,88632,181969,0.4871
1745434858507,88779,182279,0.4870
1745434858537,88638,181927,0.4872
1745434858597,88197,180892,0.4876
1745434858598,87492,179260,0.4881
1745434858630,86612,177233,0.4887
1745434858660,85679,175087,0.4894
1745434858694,84816,173100,0.4900
1745434858714,84115,171485,0.4905
1745434858734,83622,170352,0.4909
1745434858766,83333,169695,0.4911
1745434858834,83207,169411,0.4912
1745434858895,83177,169336,0.4912
1745434858898,83173,169307,0.4913
1745434858912,83154,169241,0.4913
1745434858951,83125,169179,0.4913
1745434858978,83128,169255,0.4911
1745434858983,83210,169607,0.4906
1745434859024,83394,170288,0.4897
1745434859059,83666,171239,0.4886
1745434859094,83985,172320,0.4874
1745434859175,84296,173363,0.4862
1745434859197,84546,174204,0.4853
1745434859217,84690,174723,0.4847
1745434859218,84705,174861,0.4844
1745434859259,84601,174650,0.4844
1745434859289,84416,174196,0.4846
1745434859299,84196,173633,0.4849
1745434859350,83972,173043,0.4853
1745434859358,83728,172387,0.4857
1745434859392,83401,171479,0.4864
1745434859430,82902,170059,0.4875
1745434859455,82167,167926,0.4893
1745434859494,81195,165050,0.4919
1745434859520,80042,161573,0.4954
1745434859558,78797,157698,0.4997
1745434859589,77537,153563,0.5049
1745434859626,76314,149193,0.5115
1745434859659,75150,144535,0.5199
1745434859704,74046,139518,0.5307
1745434859705,72980,134097,0.5442
1745434859740,71909,128260,0.5606
1745434859778,70786,122055,0.5800
1745434859810,69583,115615,0.6018
1745434859868,68310,109175,0.6257
1745434859917,67018,103034,0.6504
1745434859918,65786,97495,0.6748
1745434859928,64700,92803,0.6972
1745434859969,63844,89138,0.7162
1745434860009,63288,86618,0.7307
1745434860039,63079,85298,0.7395
1745434860192,63231,85167,0.7424
1745434860206,63724,86163,0.7396
1745434860207,64519,88220,0.7313
1745434860207,65578,91285,0.7184
1745434860209,66856,95271,0.7018
1745434860209,68289,99961,0.6832
1745434860257,69770,104945,0.6648
1745434860262,71156,109651,0.6489
1745434860323,72295,113454,0.6372
1745434860361,73052,115778,0.6310
1745434860395,73324,116190,0.6311
1745434860396,73059,114475,0.6382
1745434860429,72263,110711,0.6527
1745434860459,71005,105259,0.6746
1745434860490,69396,98681,0.7032
1745434860528,67572,91619,0.7375
1745434860551,65680,84704,0.7754
1745434860601,63870,78497,0.8137
1745434860609,62274,73405,0.8484
1745434860725,60969,69576,0.8763
1745434860726,59957,66858,0.8968
1745434860755,59171,64870,0.9121
1745434860764,58515,63173,0.9263
1745434860776,57906,61433,0.9426
1745434860804,57295,59493,0.9631
1745434860844,56669,57358,0.9880
1745434860873,56037,55116,1.0167
1745434860903,55416,52884,1.0479
1745434860927,54828,50768,1.0800
1745434860979,54291,48856,1.1113
1745434860980,53826,47230,1.1397
1745434861044,53456,45986,1.1625
1745434861074,53214,45254,1.1759
1745434861097,53149,45225,1.1752
1745434861125,53340,46153,1.1557
1745434861170,53891,48352,1.1146
1745434861189,54917,52141,1.0533
1745434861225,56507,57762,0.9783
1745434861255,58690,65280,0.8991
1745434861263,61416,74519,0.8242
1745434861294,64563,85062,0.7590
1745434861345,67963,96307,0.7057
1745434861421,71426,107557,0.6641
1745434861423,74762,118122,0.6329
1745434861428,77801,127425,0.6106
1745434861460,80423,135099,0.5953
1745434861488,82590,141063,0.5855
1745434861524,84357,145532,0.5796
1745434861556,85860,148943,0.5765
1745434861689,87265,151800,0.5749
1745434861690,88704,154525,0.5740
1745434861691,90250,157358,0.5735
1745434861691,91900,160345,0.5731
1745434861698,93592,163385,0.5728
1745434861729,95229,166298,0.5726
1745434861775,96710,168909,0.5726
1745434861806,97973,171124,0.5725
1745434861883,99030,172989,0.5725
1745434861921,99977,174699,0.5723
1745434861921,100964,176543,0.5719
1745434861926,102142,178801,0.5713
1745434861959,103604,181635,0.5704
1745434861987,105343,185018,0.5694
1745434862022,107253,188730,0.5683
1745434862175,109161,192431,0.5673
1745434862190,110892,195770,0.5664
